description,category
Hospital Bill Recharge,Healthcare
Household Items Purchase,Groceries
Cafe Coffee Day,Food
IRCTC Payment,Travel
Hotstar Recharge,Entertainment
Coffee Shop Bill,Food
Bakery Bill,Food
Donation,Miscellaneous
IRCTC IMPS,Travel
Hotstar Recharge,Entertainment
Indigo Airlines IMPS,Travel
Temple Donation Payment,Miscellaneous
Rapido Transaction,Travel
Donation Recharge,Miscellaneous
Haldirams Purchase,Food
Gaming Top-up Auto-pay,Entertainment
Air India Purchase,Travel
Gaming Top-up via UPI,Entertainment
Event Ticket IMPS,Entertainment
Steam via UPI,Entertainment
Pharma Online,Healthcare
Hospital Bill via UPI,Healthcare
Ajio Payment,Shopping
Haldirams Recharge,Food
DMart Online,Groceries
Bikanervala Payment,Food
Reliance Digital Payment,Shopping
Event Ticket Payment,Entertainment
Rapido Purchase,Travel
Bescom Bill,Bills
MakeMyTrip Auto-pay,Travel
Reliance Smart,Groceries
Flight Ticket Recharge,Travel
Cab Ride Bill,Travel
Mahanagar Gas IMPS,Bills
Cab Ride Payment,Travel
Water Bill Online,Bills
Sports Ticket Bill,Entertainment
Haldirams Transaction,Food
Indigo Airlines Bill,Travel
Charity IMPS,Miscellaneous
BlueDart IMPS,Miscellaneous
Spotify Bill,Entertainment
Croma Transaction,Shopping
Nykaa Auto-pay,Shopping
Supermarket Grocery Recharge,Groceries
Train Ticket via UPI,Travel
Appliance Store,Shopping
Courier Service Online,Miscellaneous
Apollo Pharmacy Transaction,Healthcare
BlueDart Bill,Miscellaneous
Donation,Miscellaneous
Doctor Consultation via UPI,Healthcare
Cafe Coffee Day Auto-pay,Food
Electronics Store via UPI,Shopping
Swiggy NEFT,Food
Doctor Consultation Purchase,Healthcare
Retail Store IMPS,Shopping
Donation App,Miscellaneous
Amazon NEFT,Shopping
Blinkit App,Groceries
Local Kirana App,Groceries
Pharma Recharge,Healthcare
Apollo Pharmacy IMPS,Healthcare
Dental Treatment Online,Healthcare
DTH Recharge Payment,Bills
Household Items Transaction,Groceries
Bus Ticket Bill,Travel
Rent Payment Online,Bills
Swiggy,Food
Electronics Store Auto-pay,Shopping
Cult.fit Payment,Miscellaneous
Local Cafe Purchase,Food
KFC Bill,Food
RedBus Bill,Travel
Rapido NEFT,Travel
Supermarket Grocery Recharge,Groceries
Haldirams NEFT,Food
Street Food Transaction,Food
Indigo Airlines Recharge,Travel
Appliance Store IMPS,Shopping
Supermarket Grocery IMPS,Groceries
Cafe Coffee Day Purchase,Food
Instamart Auto-pay,Groceries
PVR Cinemas Purchase,Entertainment
Starbucks via UPI,Food
Retail Store,Shopping
Apollo Pharmacy Auto-pay,Healthcare
Steam Bill,Entertainment
Retail Store NEFT,Shopping
Bus Ticket App,Travel
Medical Lab Test App,Healthcare
Water Bill via UPI,Bills
Appliance Store Auto-pay,Shopping
Maintenance Charges Bill,Bills
Donation Online,Miscellaneous
Donation Purchase,Miscellaneous
Health Insurance Transaction,Healthcare
DTH Recharge,Bills
Event Ticket IMPS,Entertainment
ATM Withdrawal Purchase,Miscellaneous
Bescom App,Bills
BigBasket Transaction,Groceries
Reliance Smart NEFT,Groceries
Maintenance Charges Transaction,Bills
Medical Lab Test IMPS,Healthcare
Maintenance Charges NEFT,Bills
Gaming Top-up Payment,Entertainment
India Post Bill,Miscellaneous
Event Ticket via UPI,Entertainment
Nykaa App,Shopping
Local Cafe Purchase,Food
Household Items Auto-pay,Groceries
Doctor Consultation Auto-pay,Healthcare
Bank Charges Payment,Miscellaneous
Haldirams via UPI,Food
Steam Auto-pay,Entertainment
OTT Subscription Purchase,Entertainment
Indigo Airlines Bill,Travel
Uber IMPS,Travel
Haldirams Payment,Food
Clinic Visit IMPS,Healthcare
OTT Subscription Payment,Entertainment
IRCTC Bill,Travel
Electronics Store Auto-pay,Shopping
Household Items App,Groceries
Clinic Visit IMPS,Healthcare
Electronics Store Transaction,Shopping
Mall Purchase Payment,Shopping
Tata Power Online,Bills
Nykaa Auto-pay,Shopping
India Post via UPI,Miscellaneous
Zepto Recharge,Groceries
Indigo Airlines Recharge,Travel
Lifestyle Bill,Shopping
MakeMyTrip,Travel
BlueDart Purchase,Miscellaneous
Croma Online,Shopping
Hotstar Bill,Entertainment
McDonalds App,Food
Metro Recharge Purchase,Travel
Milk Purchase IMPS,Groceries
Metro Recharge Auto-pay,Travel
1mg via UPI,Healthcare
Netflix Transaction,Entertainment
India Post Transaction,Miscellaneous
ATM Withdrawal,Miscellaneous
Household Items Recharge,Groceries
BlueDart App,Miscellaneous
Flight Ticket App,Travel
DMart Online,Groceries
Bescom NEFT,Bills
India Post Purchase,Miscellaneous
Parking Fee Purchase,Miscellaneous
Tata Power,Bills
Gym Membership Purchase,Miscellaneous
Clinic Visit Recharge,Healthcare
General Store Purchase,Groceries
Croma via UPI,Shopping
Parking Fee IMPS,Miscellaneous
Retail Store IMPS,Shopping
Zomato NEFT,Food
Medical Lab Test NEFT,Healthcare
Rapido Transaction,Travel
BookMyShow Recharge,Entertainment
Temple Donation Online,Miscellaneous
Flipkart Recharge,Shopping
Health Insurance,Healthcare
Train Ticket App,Travel
Supermarket Grocery,Groceries
Indigo Airlines Purchase,Travel
Broadband Bill Online,Bills
Clothing Store Online,Shopping
OTT Subscription Transaction,Entertainment
Temple Donation Auto-pay,Miscellaneous
McDonalds NEFT,Food
Apollo Pharmacy Transaction,Healthcare
Coffee Shop App,Food
Pharma Bill,Healthcare
Cafe Coffee Day,Food
Metro Recharge via UPI,Travel
Mahanagar Gas App,Bills
Jio Recharge,Bills
Music Subscription Online,Entertainment
Haldirams Online,Food
Rapido IMPS,Travel
Dental Treatment Purchase,Healthcare
Clinic Visit Bill,Healthcare
BookMyShow IMPS,Entertainment
Cult.fit Recharge,Miscellaneous
Cult.fit via UPI,Miscellaneous
Spotify NEFT,Entertainment
Steam Online,Entertainment
Gym Membership Auto-pay,Miscellaneous
ATM Withdrawal App,Miscellaneous
Restaurant App,Food
Domino's Auto-pay,Food
Bank Charges IMPS,Miscellaneous
Pharma NEFT,Healthcare
Electricity Bill Purchase,Bills
Pharma Transaction,Healthcare
MakeMyTrip IMPS,Travel
RedBus App,Travel
McDonalds App,Food
Courier Service App,Miscellaneous
Flight Ticket IMPS,Travel
Health Insurance App,Healthcare
Bikanervala App,Food
Inox Payment,Entertainment
Netmeds Purchase,Healthcare
Clinic Visit via UPI,Healthcare
Bus Ticket Auto-pay,Travel
Amazon Prime Bill,Entertainment
KFC Bill,Food
Event Ticket Payment,Entertainment
Water Bill via UPI,Bills
Shoppers Stop Online,Shopping
Street Food,Food
PVR Cinemas via UPI,Entertainment
Air India via UPI,Travel
Bus Ticket Recharge,Travel
Electronics Store via UPI,Shopping
KFC App,Food
1mg IMPS,Healthcare
Metro Recharge Bill,Travel
Clothing Store NEFT,Shopping
Restaurant,Food
Nykaa Payment,Shopping
Sports Ticket Online,Entertainment
Clinic Visit,Healthcare
Cult.fit App,Miscellaneous
Reliance Digital Payment,Shopping
Electricity Bill Bill,Bills
Vi Mobile Bill Payment,Bills
Domino's IMPS,Food
Maintenance Charges App,Bills
Cult.fit Auto-pay,Miscellaneous
Temple Donation Payment,Miscellaneous
Apollo Pharmacy Online,Healthcare
Blinkit Purchase,Groceries
BigBasket Payment,Groceries
General Store,Groceries
Cult.fit Payment,Miscellaneous
Haldirams Online,Food
Household Items Transaction,Groceries
Hotstar Online,Entertainment
Netflix IMPS,Entertainment
Clinic Visit Purchase,Healthcare
Amazon Prime App,Entertainment
Local Kirana Purchase,Groceries
DTH Recharge Online,Bills
Amazon,Shopping
Donation Recharge,Miscellaneous
Health Insurance NEFT,Healthcare
McDonalds Bill,Food
Mahanagar Gas App,Bills
Clothing Store Online,Shopping
Donation Online,Miscellaneous
Restaurant,Food
BookMyShow Online,Entertainment
Music Subscription Bill,Entertainment
1mg Bill,Healthcare
Donation Purchase,Miscellaneous
Air India Bill,Travel
Reliance Smart Auto-pay,Groceries
Restaurant Bill,Food
Hospital Bill Auto-pay,Healthcare
Gym Membership App,Miscellaneous
Medical Lab Test,Healthcare
Dental Treatment IMPS,Healthcare
Bikanervala via UPI,Food
Bus Ticket Payment,Travel
1mg Bill,Healthcare
Shoppers Stop Purchase,Shopping
IRCTC Bill,Travel
Parking Fee Bill,Miscellaneous
Hospital Bill Purchase,Healthcare
Steam Payment,Entertainment
RedBus Auto-pay,Travel
Doctor Consultation Recharge,Healthcare
Local Cafe Transaction,Food
Jio Recharge Bill,Bills
Courier Service Recharge,Miscellaneous
Clothing Store Recharge,Shopping
Netmeds,Healthcare
Rapido Recharge,Travel
DMart Auto-pay,Groceries
Reliance Digital Purchase,Shopping
Water Bill Payment,Bills
Bikanervala App,Food
Clinic Visit Transaction,Healthcare
Amazon NEFT,Shopping
Shoppers Stop IMPS,Shopping
Zepto Online,Groceries
Blinkit NEFT,Groceries
Cab Ride Payment,Travel
BlueDart via UPI,Miscellaneous
Mahanagar Gas,Bills
Amazon App,Shopping
Supermarket Grocery NEFT,Groceries
Appliance Store Purchase,Shopping
Bank Charges Purchase,Miscellaneous
Ajio NEFT,Shopping
Donation Recharge,Miscellaneous
Train Ticket App,Travel
Airtel Postpaid Online,Bills
Amazon App,Shopping
Coffee Shop App,Food
Metro Recharge,Travel
KFC App,Food
Reliance Digital IMPS,Shopping
Blinkit via UPI,Groceries
Indigo Airlines NEFT,Travel
Steam Bill,Entertainment
ATM Withdrawal App,Miscellaneous
Electricity Bill Payment,Bills
BookMyShow App,Entertainment
Local Cafe Payment,Food
Inox Bill,Entertainment
1mg Transaction,Healthcare
Airtel Postpaid Online,Bills
Clothing Store via UPI,Shopping
Lifestyle,Shopping
Ola App,Travel
Water Bill via UPI,Bills
Supermarket Grocery Online,Groceries
Amazon Prime Recharge,Entertainment
Mall Purchase Bill,Shopping
Indigo Airlines Transaction,Travel
India Post,Miscellaneous
Clinic Visit Auto-pay,Healthcare
Swiggy Payment,Food
Clinic Visit Transaction,Healthcare
Instamart Online,Groceries
Netflix Payment,Entertainment
Bank Charges Bill,Miscellaneous
Zomato Bill,Food
Practo Purchase,Healthcare
Bank Charges IMPS,Miscellaneous
Vi Mobile Bill Bill,Bills
Local Kirana Purchase,Groceries
Pharma NEFT,Healthcare
Flipkart NEFT,Shopping
Airtel Postpaid IMPS,Bills
Donation Online,Miscellaneous
Gaming Top-up Purchase,Entertainment
Apollo Pharmacy,Healthcare
Music Subscription NEFT,Entertainment
Amazon Payment,Shopping
Electricity Bill Auto-pay,Bills
Hospital Bill Online,Healthcare
Metro Recharge Auto-pay,Travel
Medical Lab Test Purchase,Healthcare
Mall Purchase,Shopping
PVR Cinemas Recharge,Entertainment
Electricity Bill,Bills
Domino's Bill,Food
Vi Mobile Bill via UPI,Bills
Reliance Digital IMPS,Shopping
Airtel Postpaid NEFT,Bills
Instamart Purchase,Groceries
Train Ticket Purchase,Travel
BookMyShow Transaction,Entertainment
Train Ticket Purchase,Travel
Zepto IMPS,Groceries
Donation App,Miscellaneous
Croma Purchase,Shopping
Practo Bill,Healthcare
RedBus via UPI,Travel
Steam Recharge,Entertainment
Ajio NEFT,Shopping
BigBasket via UPI,Groceries
Practo NEFT,Healthcare
Mall Purchase,Shopping
Ajio Transaction,Shopping
Dining IMPS,Food
McDonalds Online,Food
Parking Fee Purchase,Miscellaneous
Bank Charges Online,Miscellaneous
Flight Ticket,Travel
Appliance Store via UPI,Shopping
Retail Store Bill,Shopping
BigBasket Payment,Groceries
Bank Charges,Miscellaneous
Local Cafe Purchase,Food
BigBasket Auto-pay,Groceries
Maintenance Charges NEFT,Bills
Coffee Shop Recharge,Food
Tata Power via UPI,Bills
Inox Auto-pay,Entertainment
Local Kirana Payment,Groceries
KFC Transaction,Food
Water Bill Recharge,Bills
Health Insurance via UPI,Healthcare
Bank Charges Online,Miscellaneous
Sports Ticket Online,Entertainment
Domino's App,Food
Starbucks App,Food
Rent Payment Transaction,Bills
Rapido Transaction,Travel
Netflix Purchase,Entertainment
Uber Auto-pay,Travel
Vi Mobile Bill Transaction,Bills
Retail Store Recharge,Shopping
Reliance Smart,Groceries
Sports Ticket Purchase,Entertainment
Dining IMPS,Food
DMart Recharge,Groceries
Airtel Postpaid Transaction,Bills
Dining via UPI,Food
Cult.fit NEFT,Miscellaneous
Doctor Consultation NEFT,Healthcare
KFC Recharge,Food
BigBasket,Groceries
Inox Online,Entertainment
Courier Service Auto-pay,Miscellaneous
Domino's App,Food
Water Bill Auto-pay,Bills
Donation Payment,Miscellaneous
Water Bill,Bills
Domino's Recharge,Food
Electronics Store NEFT,Shopping
Amazon Prime IMPS,Entertainment
Bank Charges App,Miscellaneous
Practo NEFT,Healthcare
BlueDart,Miscellaneous
Tata Power via UPI,Bills
Bescom Online,Bills
Electronics Store Transaction,Shopping
Swiggy via UPI,Food
Hospital Bill NEFT,Healthcare
KFC via UPI,Food
Steam Online,Entertainment
MakeMyTrip NEFT,Travel
Daily Essentials Payment,Groceries
Mall Purchase via UPI,Shopping
BookMyShow Payment,Entertainment
PVR Cinemas Online,Entertainment
Flight Ticket IMPS,Travel
Vi Mobile Bill Online,Bills
Temple Donation,Miscellaneous
BookMyShow via UPI,Entertainment
Airport Taxi IMPS,Travel
Pharma Bill,Healthcare
Bescom,Bills
Steam Bill,Entertainment
Swiggy App,Food
Hospital Bill Transaction,Healthcare
Donation Payment,Miscellaneous
Temple Donation Transaction,Miscellaneous
Bescom App,Bills
RedBus Transaction,Travel
Practo Payment,Healthcare
Doctor Consultation Payment,Healthcare
Practo Purchase,Healthcare
Vi Mobile Bill via UPI,Bills
Hospital Bill Transaction,Healthcare
Tata Power Transaction,Bills
Hospital Bill Bill,Healthcare
DMart Auto-pay,Groceries
Cab Ride Transaction,Travel
OTT Subscription Online,Entertainment
Bank Charges NEFT,Miscellaneous
IRCTC Online,Travel
Reliance Smart Transaction,Groceries
Bikanervala Online,Food
Doctor Consultation via UPI,Healthcare
Ajio Recharge,Shopping
Medical Lab Test Recharge,Healthcare
Myntra Purchase,Shopping
Domino's Transaction,Food
MakeMyTrip Transaction,Travel
Supermarket Grocery Transaction,Groceries
Tata Power Recharge,Bills
BookMyShow Purchase,Entertainment
Swiggy NEFT,Food
Airtel Postpaid Online,Bills
Vi Mobile Bill Bill,Bills
Gaming Top-up Transaction,Entertainment
Amazon NEFT,Shopping
Gaming Top-up Recharge,Entertainment
India Post Purchase,Miscellaneous
Indigo Airlines Bill,Travel
Charity Recharge,Miscellaneous
Milk Purchase Purchase,Groceries
Dining NEFT,Food
Air India Payment,Travel
Uber Bill,Travel
Appliance Store App,Shopping
Courier Service NEFT,Miscellaneous
Doctor Consultation Recharge,Healthcare
Ola Online,Travel
Hotstar NEFT,Entertainment
Domino's Payment,Food
Courier Service NEFT,Miscellaneous
Gaming Top-up IMPS,Entertainment
Hospital Bill Online,Healthcare
Amazon Prime App,Entertainment
Temple Donation Payment,Miscellaneous
Mall Purchase Bill,Shopping
Charity Bill,Miscellaneous
Gym Membership Payment,Miscellaneous
Nature's Basket App,Groceries
BlueDart via UPI,Miscellaneous
BookMyShow Recharge,Entertainment
Restaurant IMPS,Food
Flipkart Payment,Shopping
Gym Membership Payment,Miscellaneous
Amazon Prime NEFT,Entertainment
Supermarket Grocery Online,Groceries
Swiggy via UPI,Food
Swiggy App,Food
Temple Donation via UPI,Miscellaneous
Doctor Consultation Payment,Healthcare
McDonalds App,Food
Indigo Airlines via UPI,Travel
Reliance Smart NEFT,Groceries
Courier Service IMPS,Miscellaneous
Starbucks App,Food
Charity App,Miscellaneous
Airport Taxi IMPS,Travel
Apollo Pharmacy NEFT,Healthcare
Water Bill App,Bills
Haldirams App,Food
Spotify Transaction,Entertainment
Broadband Bill Purchase,Bills
Local Kirana Bill,Groceries
Pharma via UPI,Healthcare
Rapido Online,Travel
Practo Payment,Healthcare
OTT Subscription,Entertainment
Street Food Bill,Food
Airtel Postpaid Bill,Bills
Bikanervala NEFT,Food
Rapido Auto-pay,Travel
Train Ticket IMPS,Travel
Bescom App,Bills
Flight Ticket IMPS,Travel
Starbucks Transaction,Food
Air India App,Travel
Indigo Airlines Purchase,Travel
Train Ticket NEFT,Travel
Broadband Bill Purchase,Bills
Air India Auto-pay,Travel
Apollo Pharmacy Auto-pay,Healthcare
Event Ticket NEFT,Entertainment
BlueDart Online,Miscellaneous
Courier Service App,Miscellaneous
Household Items Auto-pay,Groceries
Amazon Prime App,Entertainment
Donation,Miscellaneous
PVR Cinemas Recharge,Entertainment
Doctor Consultation Payment,Healthcare
Croma IMPS,Shopping
Reliance Digital App,Shopping
1mg IMPS,Healthcare
Bank Charges Online,Miscellaneous
Zepto Recharge,Groceries
Airport Taxi,Travel
Gaming Top-up Online,Entertainment
Pharma,Healthcare
OTT Subscription,Entertainment
KFC IMPS,Food
Steam via UPI,Entertainment
Vi Mobile Bill via UPI,Bills
Daily Essentials via UPI,Groceries
India Post Auto-pay,Miscellaneous
Flight Ticket Auto-pay,Travel
Reliance Smart via UPI,Groceries
Sports Ticket Payment,Entertainment
ATM Withdrawal NEFT,Miscellaneous
Domino's,Food
Apollo Pharmacy Auto-pay,Healthcare
MakeMyTrip Payment,Travel
Indigo Airlines Bill,Travel
Uber Purchase,Travel
Reliance Smart Recharge,Groceries
Courier Service NEFT,Miscellaneous
Electronics Store Transaction,Shopping
Dining Bill,Food
Courier Service Bill,Miscellaneous
Clinic Visit NEFT,Healthcare
Haldirams NEFT,Food
Cafe Coffee Day Payment,Food
Haldirams Transaction,Food
Daily Essentials IMPS,Groceries
Nykaa Auto-pay,Shopping
Dining Purchase,Food
OTT Subscription Auto-pay,Entertainment
BlueDart Auto-pay,Miscellaneous
Electronics Store Bill,Shopping
Bank Charges Purchase,Miscellaneous
Courier Service Transaction,Miscellaneous
BookMyShow Purchase,Entertainment
Clothing Store IMPS,Shopping
Hotstar Online,Entertainment
India Post Bill,Miscellaneous
DTH Recharge Online,Bills
Daily Essentials Bill,Groceries
Clothing Store Auto-pay,Shopping
Broadband Bill NEFT,Bills
IRCTC via UPI,Travel
Dental Treatment Online,Healthcare
Doctor Consultation Bill,Healthcare
Bikanervala Payment,Food
Bikanervala IMPS,Food
Nykaa Bill,Shopping
Train Ticket Bill,Travel
Rent Payment App,Bills
Household Items IMPS,Groceries
Shoppers Stop NEFT,Shopping
General Store App,Groceries
PVR Cinemas,Entertainment
Bikanervala Recharge,Food
Uber Transaction,Travel
Water Bill Purchase,Bills
India Post,Miscellaneous
Nature's Basket Payment,Groceries
Restaurant IMPS,Food
MakeMyTrip,Travel
Gym Membership NEFT,Miscellaneous
Reliance Smart Bill,Groceries
Sports Ticket Payment,Entertainment
Hospital Bill Bill,Healthcare
Cafe Coffee Day Auto-pay,Food
Apollo Pharmacy Purchase,Healthcare
Spotify NEFT,Entertainment
Flight Ticket Auto-pay,Travel
Airport Taxi Auto-pay,Travel
Shoppers Stop Purchase,Shopping
Health Insurance Bill,Healthcare
Retail Store Auto-pay,Shopping
Music Subscription Bill,Entertainment
Air India IMPS,Travel
Local Cafe Purchase,Food
Zomato Recharge,Food
DTH Recharge Recharge,Bills
Domino's,Food
Dental Treatment Recharge,Healthcare
Milk Purchase via UPI,Groceries
Event Ticket NEFT,Entertainment
Maintenance Charges Online,Bills
Electronics Store Purchase,Shopping
Rent Payment App,Bills
DTH Recharge App,Bills
Pharma via UPI,Healthcare
Parking Fee Transaction,Miscellaneous
Event Ticket NEFT,Entertainment
Uber NEFT,Travel
Bakery Auto-pay,Food
Cab Ride Bill,Travel
Clinic Visit Purchase,Healthcare
Nature's Basket,Groceries
OTT Subscription Transaction,Entertainment
Apollo Pharmacy Bill,Healthcare
Reliance Digital Online,Shopping
Flight Ticket Online,Travel
Maintenance Charges IMPS,Bills
Steam App,Entertainment
Pharma Payment,Healthcare
Starbucks Online,Food
ATM Withdrawal Transaction,Miscellaneous
Myntra,Shopping
BlueDart Recharge,Miscellaneous
Medical Lab Test App,Healthcare
Myntra Purchase,Shopping
DMart Payment,Groceries
Street Food,Food
Nykaa Recharge,Shopping
Charity Recharge,Miscellaneous
BigBasket NEFT,Groceries
Bikanervala,Food
Air India App,Travel
Inox Purchase,Entertainment
Bikanervala Transaction,Food
Zepto Bill,Groceries
Supermarket Grocery App,Groceries
Train Ticket Recharge,Travel
RedBus Transaction,Travel
Inox NEFT,Entertainment
1mg Purchase,Healthcare
Local Kirana Online,Groceries
Cab Ride NEFT,Travel
Medical Lab Test IMPS,Healthcare
Flipkart via UPI,Shopping
Netmeds Purchase,Healthcare
Bank Charges Payment,Miscellaneous
Street Food Online,Food
Retail Store IMPS,Shopping
Hotstar IMPS,Entertainment
Pharma Bill,Healthcare
Indigo Airlines via UPI,Travel
Croma via UPI,Shopping
Milk Purchase Transaction,Groceries
Medical Lab Test NEFT,Healthcare
Flight Ticket Bill,Travel
General Store Transaction,Groceries
Starbucks,Food
Mall Purchase IMPS,Shopping
India Post Online,Miscellaneous
Event Ticket App,Entertainment
Reliance Digital Recharge,Shopping
DTH Recharge Online,Bills
Inox Purchase,Entertainment
Haldirams App,Food
Clinic Visit Recharge,Healthcare
Spotify,Entertainment
Airtel Postpaid Bill,Bills
Household Items Recharge,Groceries
Myntra Bill,Shopping
DTH Recharge Bill,Bills
PVR Cinemas App,Entertainment
Dining App,Food
Doctor Consultation,Healthcare
Ola IMPS,Travel
Appliance Store Recharge,Shopping
Street Food Auto-pay,Food
Broadband Bill Payment,Bills
Airtel Postpaid Auto-pay,Bills
Appliance Store App,Shopping
Flipkart IMPS,Shopping
RedBus Payment,Travel
Coffee Shop Payment,Food
1mg Online,Healthcare
Zomato Transaction,Food
Shoppers Stop Bill,Shopping
Donation Bill,Miscellaneous
Cab Ride,Travel
Ajio Recharge,Shopping
DTH Recharge IMPS,Bills
Clinic Visit,Healthcare
Supermarket Grocery Purchase,Groceries
IRCTC via UPI,Travel
Clothing Store Auto-pay,Shopping
RedBus NEFT,Travel
Flipkart App,Shopping
Haldirams Bill,Food
DMart Auto-pay,Groceries
Supermarket Grocery App,Groceries
Shoppers Stop Online,Shopping
Air India Auto-pay,Travel
Water Bill Purchase,Bills
Cult.fit Auto-pay,Miscellaneous
Domino's Payment,Food
Indigo Airlines Online,Travel
Event Ticket,Entertainment
Electricity Bill Auto-pay,Bills
Health Insurance NEFT,Healthcare
Milk Purchase IMPS,Groceries
Flipkart Online,Shopping
Zomato NEFT,Food
Tata Power Purchase,Bills
Air India NEFT,Travel
Cafe Coffee Day Bill,Food
Clinic Visit Purchase,Healthcare
OTT Subscription Recharge,Entertainment
Nykaa,Shopping
1mg Recharge,Healthcare
Sports Ticket Recharge,Entertainment
Clothing Store via UPI,Shopping
Hospital Bill App,Healthcare
Rent Payment Bill,Bills
Reliance Smart Transaction,Groceries
KFC via UPI,Food
Tata Power App,Bills
Parking Fee,Miscellaneous
Event Ticket Purchase,Entertainment
Bus Ticket Auto-pay,Travel
Indigo Airlines IMPS,Travel
Metro Recharge App,Travel
Pharma Online,Healthcare
Milk Purchase via UPI,Groceries
BlueDart Online,Miscellaneous
Flipkart IMPS,Shopping
Clothing Store Recharge,Shopping
Starbucks IMPS,Food
BigBasket Online,Groceries
Apollo Pharmacy IMPS,Healthcare
Haldirams Purchase,Food
Netflix,Entertainment
Jio Recharge IMPS,Bills
Charity Transaction,Miscellaneous
McDonalds,Food
ATM Withdrawal Payment,Miscellaneous
Starbucks Auto-pay,Food
Lifestyle Auto-pay,Shopping
Practo Purchase,Healthcare
General Store Online,Groceries
Blinkit Transaction,Groceries
BigBasket App,Groceries
Water Bill Recharge,Bills
Mall Purchase via UPI,Shopping
Electronics Store,Shopping
Nature's Basket NEFT,Groceries
Parking Fee NEFT,Miscellaneous
PVR Cinemas Auto-pay,Entertainment
Apollo Pharmacy Payment,Healthcare
Health Insurance IMPS,Healthcare
Apollo Pharmacy App,Healthcare
Daily Essentials NEFT,Groceries
Steam App,Entertainment
Reliance Smart Online,Groceries
Coffee Shop IMPS,Food
Myntra Purchase,Shopping
Doctor Consultation IMPS,Healthcare
Hospital Bill App,Healthcare
RedBus Recharge,Travel
Airport Taxi Transaction,Travel
Electricity Bill App,Bills
Donation Bill,Miscellaneous
Jio Recharge NEFT,Bills
DMart Auto-pay,Groceries
Shoppers Stop Purchase,Shopping
Practo,Healthcare
Nykaa NEFT,Shopping
Daily Essentials,Groceries
Cab Ride Recharge,Travel
Gym Membership,Miscellaneous
Ajio Recharge,Shopping
Cab Ride IMPS,Travel
Household Items Bill,Groceries
Hotstar via UPI,Entertainment
Vi Mobile Bill Bill,Bills
Broadband Bill App,Bills
Street Food Auto-pay,Food
Practo Purchase,Healthcare
Cult.fit,Miscellaneous
Event Ticket App,Entertainment
Maintenance Charges IMPS,Bills
Air India NEFT,Travel
Vi Mobile Bill App,Bills
Mahanagar Gas via UPI,Bills
Blinkit Auto-pay,Groceries
Broadband Bill Online,Bills
Hotstar Bill,Entertainment
ATM Withdrawal Recharge,Miscellaneous
BlueDart Transaction,Miscellaneous
Haldirams Recharge,Food
Dental Treatment Payment,Healthcare
Domino's Transaction,Food
Hotstar Recharge,Entertainment
Broadband Bill,Bills
Swiggy Online,Food
India Post Payment,Miscellaneous
Coffee Shop Payment,Food
Haldirams Online,Food
McDonalds Auto-pay,Food
Coffee Shop,Food
Dining Purchase,Food
Cult.fit,Miscellaneous
Instamart IMPS,Groceries
Clinic Visit App,Healthcare
Appliance Store Online,Shopping
Medical Lab Test,Healthcare
Pharma App,Healthcare
Temple Donation App,Miscellaneous
Doctor Consultation via UPI,Healthcare
Gym Membership Bill,Miscellaneous
Nykaa Transaction,Shopping
Netmeds App,Healthcare
Supermarket Grocery Purchase,Groceries
Gaming Top-up,Entertainment
Pharma Auto-pay,Healthcare
Medical Lab Test via UPI,Healthcare
Donation,Miscellaneous
Airtel Postpaid,Bills
Nykaa Auto-pay,Shopping
Local Kirana Purchase,Groceries
Milk Purchase Bill,Groceries
Supermarket Grocery IMPS,Groceries
Retail Store NEFT,Shopping
Zomato Purchase,Food
ATM Withdrawal Purchase,Miscellaneous
Domino's Transaction,Food
BigBasket via UPI,Groceries
Nykaa App,Shopping
McDonalds,Food
Donation Auto-pay,Miscellaneous
Blinkit Transaction,Groceries
Event Ticket Recharge,Entertainment
Maintenance Charges Payment,Bills
McDonalds Transaction,Food
Air India IMPS,Travel
Restaurant Transaction,Food
Vi Mobile Bill NEFT,Bills
Pharma App,Healthcare
Swiggy via UPI,Food
Swiggy Bill,Food
Temple Donation,Miscellaneous
BlueDart IMPS,Miscellaneous
Donation Transaction,Miscellaneous
Sports Ticket Auto-pay,Entertainment
Dining Purchase,Food
BigBasket App,Groceries
BlueDart Transaction,Miscellaneous
Airtel Postpaid NEFT,Bills
BookMyShow IMPS,Entertainment
Ola Purchase,Travel
Cult.fit Auto-pay,Miscellaneous
BigBasket IMPS,Groceries
Gaming Top-up Recharge,Entertainment
Rent Payment Recharge,Bills
Practo,Healthcare
Croma Payment,Shopping
ATM Withdrawal Auto-pay,Miscellaneous
Daily Essentials NEFT,Groceries
Dining Bill,Food
Mahanagar Gas Transaction,Bills
Nykaa NEFT,Shopping
DTH Recharge Payment,Bills
Apollo Pharmacy Payment,Healthcare
Medical Lab Test Recharge,Healthcare
Ajio Auto-pay,Shopping
Hospital Bill Bill,Healthcare
Netmeds IMPS,Healthcare
Coffee Shop Purchase,Food
Bakery via UPI,Food
Electronics Store NEFT,Shopping
ATM Withdrawal Payment,Miscellaneous
Cab Ride Recharge,Travel
Inox via UPI,Entertainment
Pharma,Healthcare
Shoppers Stop via UPI,Shopping
BookMyShow Transaction,Entertainment
Nature's Basket Payment,Groceries
Clinic Visit Auto-pay,Healthcare
RedBus Recharge,Travel
Haldirams via UPI,Food
Uber Recharge,Travel
